user_id,screen_name,source,place_full_name,country,country_code,location,created_at
7.49E+17,egreenst2,Twitter for iPhone,"Fargo, ND",United States,US,"Fargo, ND",2/26/2019 20:47
70542183,BMXCARD,Twitter for iPhone,"Evansville, IN",United States,US,,2/26/2019 19:53
2229483846,KaylaLove97,Twitter for iPhone,"Oregon, USA",United States,US,livin in the 503 happily.,2/26/2019 18:37
3227462665,thisgratefulmam,Twitter for iPhone,"Minnesota, USA",United States,US,"Minnesota, USA",2/26/2019 18:19
358828227,MagsTweets2,Twitter for iPhone,"Newark, DE",United States,US,First State,2/26/2019 17:30
251614965,scottwasserman1,Twitter for iPhone,"San Diego, CA",United States,US,"New York, NY",2/26/2019 16:43
2567291604,DrZoroufy,Twitter for iPhone,"Issaquah, WA",United States,US,Swedish Sleep Medicine-Seattle,2/26/2019 16:25
3079197865,Photog_JohnB,Twitter for Android,"Country Club, Denver",United States,US,Denver,2/26/2019 16:14
179094601,_PerKINsON,Twitter for Android,"Fort Worth, TX",United States,US,"Texas, USA",2/26/2019 13:39
102785223,sawilkus,Twitter for iPhone,"Lincroft, NJ",United States,US,New Jersey,2/26/2019 13:36
4172190923,DrBHerndonHayes,Twitter for iPhone,"Columbus, OH",United States,US,"Columbus, OH",2/26/2019 12:19
119222054,Symmentera,Twitter for iPhone,"Iowa City, IA",United States,US,Iowa City,2/26/2019 10:11
15802012,KurtMunzer,Twitter for iPhone,"St Charles, MO",United States,US,"Saint Louis, MO",2/26/2019 5:41
66776059,fabricdragon,Twitter for Android,"Philadelphia, PA",United States,US,Philadelphia,2/26/2019 3:14
388669075,HeatherMix2,Twitter for iPhone,"Nashville, TN",United States,US,"Smashville, TN",2/26/2019 2:06
88955565,jkimballcook,Twitter for Android,"Pittsford, NY",United States,US,"Rochester, NY",2/25/2019 21:50
175380266,2njerii,Twitter for iPhone,"Kingsgate, WA",United States,US,"Longview, WA",2/25/2019 21:46
7.42E+17,karleemma,Twitter for iPhone,"Beaverton, OR",United States,US,,2/25/2019 20:51
9.58E+17,PedsMamaDoc,Twitter for iPhone,"Minneapolis, MN",United States,US,"Minneapolis, MN",2/25/2019 20:46
2840592509,ickystijl,Twitter for iPhone,"Chandler, AZ",United States,US,"Arizona, USA",2/25/2019 20:14
3077375256,LCJ2077,Twitter for iPhone,"Beckley, WV",United States,US,"Beckley, WV",2/25/2019 17:13
